consignment_id,parcel_count,service_type,sla_level,origin_hub_id,target_hub_id,current_hub_id,sla_deadline,total_weight_kg,declared_value_eur,status,sensitivity_marking
CN-2026-0001,1420,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-LYS-01,HUB-FRA-01,HUB-LYS-01,2026-08-20 20:00:00,5120.5,184300.0,AT_RISK,CUSTOMER-PII
CN-2026-0002,980,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-MIL-01,HUB-FRA-01,HUB-MIL-01,2026-08-20 20:00:00,3510.0,142900.0,AT_RISK,CUSTOMER-PII
CN-2026-0003,2100,DOMESTIC_PRIO,SLA_B_48H,HUB-MUC-01,HUB-FRA-01,HUB-MUC-01,2026-08-21 12:00:00,7480.0,96500.0,AT_RISK,COMMERCIAL-CONF
CN-2026-0004,1750,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-VIE-01,HUB-FRA-01,HUB-NUE-01,2026-08-20 20:00:00,6220.0,210400.0,AT_RISK,CUSTOMER-PII
CN-2026-0005,640,DOMESTIC_PRIO,SLA_B_48H,HUB-BER-01,HUB-FRA-01,HUB-BER-01,2026-08-21 12:00:00,2280.0,54800.0,IN_TRANSIT,COMMERCIAL-CONF
CN-2026-0006,3200,ECONOMY,SLA_C_ECON,HUB-HAM-01,HUB-FRA-01,HUB-HAM-01,2026-08-22 18:00:00,11040.0,73200.0,IN_TRANSIT,OPS-INTERNAL
CN-2026-0007,1180,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-STR-01,HUB-FRA-01,HUB-STR-01,2026-08-20 20:00:00,4130.0,121600.0,AT_RISK,CUSTOMER-PII
CN-2026-0008,2450,DOMESTIC_PRIO,SLA_B_48H,HUB-CGN-01,HUB-FRA-01,HUB-CGN-01,2026-08-21 12:00:00,8580.0,88700.0,AT_HUB,COMMERCIAL-CONF
CN-2026-0009,1560,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-NUE-01,HUB-FRA-01,HUB-NUE-01,2026-08-20 20:00:00,5460.0,167800.0,AT_RISK,CUSTOMER-PII
CN-2026-0010,890,DOMESTIC_PRIO,SLA_B_48H,HUB-MUC-01,HUB-FRA-01,HUB-MUC-01,2026-08-21 12:00:00,3115.0,47200.0,IN_TRANSIT,OPS-INTERNAL
CN-2026-0011,1340,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-LYS-01,HUB-FRA-01,HUB-LYS-01,2026-08-20 20:00:00,4690.0,151200.0,AT_RISK,CUSTOMER-PII
CN-2026-0012,720,ECONOMY,SLA_C_ECON,HUB-MIL-01,HUB-FRA-01,HUB-MIL-01,2026-08-22 18:00:00,2520.0,31900.0,IN_TRANSIT,OPS-INTERNAL
CN-2026-0013,1980,DOMESTIC_PRIO,SLA_B_48H,HUB-STR-01,HUB-FRA-01,HUB-STR-01,2026-08-21 12:00:00,6930.0,79400.0,AT_RISK,COMMERCIAL-CONF
CN-2026-0014,510,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-VIE-01,HUB-FRA-01,HUB-VIE-01,2026-08-20 20:00:00,1785.0,66300.0,IN_TRANSIT,CUSTOMER-PII
CN-2026-0015,2670,DOMESTIC_PRIO,SLA_B_48H,HUB-BER-01,HUB-FRA-01,HUB-BER-01,2026-08-21 12:00:00,9345.0,102700.0,IN_TRANSIT,COMMERCIAL-CONF
CN-2026-0016,1230,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-CGN-01,HUB-FRA-01,HUB-CGN-01,2026-08-20 20:00:00,4305.0,133800.0,AT_RISK,CUSTOMER-PII
CN-2026-0017,860,ECONOMY,SLA_C_ECON,HUB-HAM-01,HUB-FRA-01,HUB-HAM-01,2026-08-22 18:00:00,3010.0,28600.0,IN_TRANSIT,OPS-INTERNAL
CN-2026-0018,1490,DOMESTIC_PRIO,SLA_B_48H,HUB-NUE-01,HUB-FRA-01,HUB-NUE-01,2026-08-21 12:00:00,5215.0,71100.0,AT_HUB,COMMERCIAL-CONF
CN-2026-0019,2050,EXPRESS_INTL,SLA_A_NEXTDAY,HUB-MUC-01,HUB-FRA-01,HUB-MUC-01,2026-08-20 20:00:00,7175.0,198500.0,AT_RISK,CUSTOMER-PII
CN-2026-0020,1610,DOMESTIC_PRIO,SLA_B_48H,HUB-LYS-01,HUB-FRA-01,HUB-LYS-01,2026-08-21 12:00:00,5635.0,84900.0,IN_TRANSIT,COMMERCIAL-CONF
