route_id,origin_hub_id,destination_hub_id,distance_km,planned_transit_min,mode,active_carrier_id,departure_time,reliability_pct,status
LH-FRA-CGN-01,HUB-FRA-01,HUB-CGN-01,191,150,ROAD,CAR-INH,18:00,93,ACTIVE
LH-FRA-NUE-01,HUB-FRA-01,HUB-NUE-01,224,165,ROAD,CAR-INH,18:30,92,ACTIVE
LH-FRA-STR-01,HUB-FRA-01,HUB-STR-01,204,150,ROAD,CAR-DBS,19:00,90,ACTIVE
LH-CGN-FRA-01,HUB-CGN-01,HUB-FRA-01,191,150,ROAD,CAR-INH,20:00,93,ACTIVE
LH-NUE-FRA-01,HUB-NUE-01,HUB-FRA-01,224,165,ROAD,CAR-INH,20:15,92,ACTIVE
LH-STR-FRA-01,HUB-STR-01,HUB-FRA-01,204,150,ROAD,CAR-DBS,20:30,90,ACTIVE
LH-CGN-NUE-01,HUB-CGN-01,HUB-NUE-01,410,300,ROAD,CAR-DBS,17:30,89,ACTIVE
LH-STR-NUE-01,HUB-STR-01,HUB-NUE-01,210,155,ROAD,CAR-INH,19:30,91,ACTIVE
LH-FRA-HAM-01,HUB-FRA-01,HUB-HAM-01,492,320,ROAD,CAR-INH,16:00,90,ACTIVE
LH-FRA-MUC-01,HUB-FRA-01,HUB-MUC-01,392,255,RAIL,CAR-RAIL,15:30,96,ACTIVE
LH-FRA-BER-01,HUB-FRA-01,HUB-BER-01,545,345,ROAD,CAR-INH,16:30,89,ACTIVE
LH-FRA-LYS-01,HUB-FRA-01,HUB-LYS-01,698,455,ROAD,CAR-DPD,14:00,88,ACTIVE
LH-FRA-MIL-01,HUB-FRA-01,HUB-MIL-01,521,90,AIR,CAR-AIR,13:00,95,ACTIVE
LH-NUE-VIE-01,HUB-NUE-01,HUB-VIE-01,488,310,ROAD,CAR-DPD,17:00,88,ACTIVE
